0,Tux,59
1,Python,632
2,Fox,200
3,Python,627
4,Fox,199
5,Fox,62
6,Python,33
7,Fox,27
8,Tux,917
9,Tux,57
10,Python,21
11,Python,211
12,Python,457
13,Fox,398
14,Tux,178
15,Tux,323
16,Fox,82
17,Tux,88
18,Python,10
19,Fox,20
20,Python,45
21,Tux,370
22,Python,3
23,Tux,28
24,Tux,8
25,Tux,2
26,Python,2
27,Tux,1
28,Tux,2
29,Python,1
30,Tux,270
31,Fox,317
32,Fox,21
33,Fox,115
34,Tux,602
35,Tux,9
36,Tux,62
37,Tux,46
38,Tux,8
39,Python,5170
40,Python,268
41,Python,1824
42,Python,49
43,Tux,6559
44,Python,62
45,Fox,2453
46,Fox,347
47,Tux,1379
48,Fox,1019
49,Tux,2037
50,Tux,22
51,Fox,22
52,Python,82
53,Fox,670
54,Python,39
55,Fox,316
56,Tux,3
57,Fox,158
58,Fox,12
59,Python,5
60,Python,1
61,Fox,2
62,Fox,1
63,Python,1939
64,Python,5282
65,Python,277
66,Tux,6864
67,Tux,2862
68,Tux,206
69,Fox,1260
70,Python,2
71,Fox,1570
72,Tux,30
73,Fox,540
74,Fox,990
75,Tux,19
76,Fox,506
77,Tux,1
78,Tux,4
79,Fox,75
80,Fox,51
81,Tux,7
82,Tux,4
83,Fox,2
84,Fox,4
85,Tux,2
86,Fox,1
87,Fox,1
88,Tux,1
